0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.000211929,0.000186083,0.000187556,0.001987448,0.005876916,0.00186277,0.002657635,0.002647483,0.00019668,0.002528205,0.002822419,0.000162021,0.007335987,0.002941911,0.000215911,0.000336649,0.000229415,0.002116592,0.000318792,0.006465395,0.000241917,0.002093455,0.002311007,0.00040939,0.000295623,0.001953099,0.002689825,0.000208023,0.000412279,0.002003329
0.000216977,0.000182693,0.000202872,0.002092854,0.006206419,0.002025247,0.002844218,0.002814517,0.000199512,0.002620165,0.002924428,0.00016853,0.007950913,0.002972468,0.000213677,0.000418794,0.000248485,0.002223724,0.000379896,0.006833108,0.000275661,0.002267988,0.00239409,0.000432747,0.000314527,0.002089947,0.002856387,0.000218692,0.000473053,0.002180279
0.000224548,0.000192609,0.000688529,0.002081259,0.003453864,0.001255154,0.002460632,0.002196074,0.000237882,0.002058754,0.002384424,0.000188431,0.005485147,0.004411148,0.00020272,0.00025708,0.000178553,0.002095337,0.000271558,0.005407615,0.000196781,0.002332613,0.001933336,0.000208997,0.000175632,0.002542377,0.002439107,0.000222791,0.000298863,0.001822376
0.000245253,0.00019943,0.006878695,0.002184074,0.003607675,0.001304558,0.002635106,0.002346003,0.000254809,0.00211858,0.00256132,0.000230029,0.006125225,0.004520386,0.000201085,0.000352739,0.000201326,0.002239803,0.000319645,0.005697986,0.000288979,0.002491195,0.002104174,0.000269281,0.000203403,0.002658256,0.002621432,0.000229801,0.000302429,0.001913772
0.006644325,0.00629803,0.005935075,0.013160564,0.016534934,0.010397422,0.012689389,0.01513823,0.007697355,0.011923773,0.017201871,0.005679174,0.036973647,0.010948272,0.007585286,0.007853238,0.006739753,0.017283561,0.007670542,0.030924092,0.005747642,0.014847246,0.011929557,0.007086101,0.006470132,0.015618334,0.011496253,0.007192812,0.00619208,0.010361318
0.006815591,0.006523884,0.006162839,0.013892533,0.017342959,0.010806574,0.013196489,0.015947173,0.008101452,0.01217569,0.017783236,0.006023613,0.038387594,0.011271777,0.0079566,0.008196589,0.007152854,0.018061417,0.008255242,0.033475886,0.006047141,0.015547164,0.012460457,0.00737097,0.006766332,0.016487767,0.011685899,0.007469008,0.006516652,0.010968908
0.001054037,0.001102706,0.000985437,0.003152698,0.0045811,0.002346958,0.003289957,0.003141909,0.00145413,0.003691779,0.004352222,0.001020418,0.011624519,0.00274036,0.001336922,0.001425684,0.001344573,0.004346567,0.001437738,0.006896882,0.001034333,0.004056243,0.003477917,0.001238391,0.001095996,0.003164165,0.002962007,0.001296443,0.001420768,0.002994396
0.001129015,0.001177504,0.001069649,0.003354949,0.004839934,0.00247387,0.003465616,0.003368752,0.001524155,0.003832164,0.004630342,0.001095873,0.011921179,0.002872864,0.001383906,0.001478674,0.001472432,0.004545912,0.001544526,0.007270146,0.001123967,0.004262807,0.003634701,0.001315296,0.001188005,0.00334654,0.003111365,0.001345596,0.001550062,0.003154061
0.009864362,0.010444743,0.010718146,0.014127967,0.016114216,0.01205628,0.014353111,0.015048196,0.012118255,0.017406575,0.016807125,0.009628561,0.036323181,0.0152042,0.011860209,0.012978507,0.011536387,0.0222901,0.011980098,0.031158187,0.009692088,0.015162841,0.015675778,0.011450971,0.011058821,0.013987976,0.016115736,0.011950455,0.006898383,0.016220945
0.010507335,0.011032093,0.011168035,0.014696717,0.016816457,0.012651498,0.014960275,0.015510696,0.012716407,0.018166968,0.017610401,0.009913849,0.038114299,0.016138826,0.012301471,0.013465167,0.012123935,0.024114001,0.012377037,0.032020708,0.010041862,0.015775065,0.016147454,0.011870746,0.011367994,0.014799951,0.016603132,0.012455442,0.007201441,0.017031679
0.020593049,0.023933594,0.023683771,0.04126129,0.046141016,0.04327962,0.043984238,0.05733886,0.02528417,0.041060501,0.048743674,0.019466867,0.137294165,0.025147348,0.025527578,0.027648391,0.026935691,0.056023513,0.027943155,0.07315267,0.019261483,0.044459085,0.044637341,0.023079928,0.024721064,0.045798912,0.039227275,0.024570822,0.016788425,0.044086691
0.021267845,0.024884702,0.025043717,0.043097621,0.048234857,0.045710606,0.046185014,0.058667034,0.026200122,0.043324973,0.053971719,0.020367185,0.1384767,0.025990551,0.026816614,0.028678295,0.028336375,0.058195589,0.028076645,0.076019832,0.020002515,0.046235137,0.045725017,0.024189,0.025696691,0.047587709,0.041092533,0.025607938,0.017558961,0.046036971
0.000216229,0.000185005,0.000327122,0.002762768,0.002743164,0.001867945,0.002299315,0.003034069,0.000421272,0.002905652,0.002868372,0.000248062,0.006255151,0.003706735,0.000331824,0.00034814,0.000316759,0.003212575,0.000256349,0.006230354,0.000183838,0.003136536,0.002892423,0.000273241,0.000415278,0.003848321,0.004539224,0.00023749,0.000328635,0.002168757
0.000274093,0.000200081,0.000422254,0.002977035,0.002876579,0.001920432,0.002429588,0.003058287,0.000477573,0.003058942,0.003045767,0.000324743,0.006746002,0.003837925,0.000377775,0.000419034,0.000382754,0.003380698,0.000268749,0.006563004,0.000220309,0.003261848,0.00304707,0.000273869,0.000467423,0.00402136,0.004829016,0.000273578,0.000371556,0.002230841
0.000216355,0.000189487,0.000180622,0.004303173,0.004880164,0.004029815,0.005592345,0.003920021,0.000309564,0.004008668,0.004333165,0.000192964,0.007000442,0.003521187,0.00021352,0.00018426,0.000189457,0.00407166,0.000384969,0.007342062,0.000187222,0.004406508,0.004100697,0.000207623,0.000205889,0.004619065,0.003724726,0.000231713,0.001416121,0.004632041
